File Name;Size;Permission;Type;UID;Owner;Group;Last Access;Last Modif;Last Status
z://Arquivos de programas/OpenSTA/Engines/Mibs/SNMP-MPD-MIB.txt;5261;;{744A687E-B8A0-CF8B-5378-D603-D6035378};-1;-1; 18:12:37 09/11/2009; 07:44:04 27/05/2000; 07:44:04 27/05/2000
z://Arquivos de programas/OpenSTA/Engines/Mibs/SNMP-NOTIFICATION-MIB.txt;19083;;{02C0C122-5964-7B64-5642-E756-E7565642};-1;-1; 18:12:37 09/11/2009; 07:44:04 27/05/2000; 07:44:04 27/05/2000
z://Arquivos de programas/OpenSTA/Engines/Mibs/SNMP-PROXY-MIB.txt;8434;;{E2E2B2BA-5434-2DA9-C6C1-AB33-AB33C6C1};-1;-1; 18:12:37 09/11/2009; 07:44:04 27/05/2000; 07:44:04 27/05/2000
z://Arquivos de programas/OpenSTA/Engines/Mibs/SNMP-TARGET-MIB.txt;21495;;{F7621D6E-126F-1211-6A81-14B3-14B36A81};-1;-1; 18:12:37 09/11/2009; 07:44:04 27/05/2000; 07:44:04 27/05/2000
z://Arquivos de programas/OpenSTA/Engines/Mibs/SNMP-USER-BASED-SM-MIB.txt;38035;;{2C032131-289A-5B6E-03B9-8C33-8C3303B9};-1;-1; 18:12:37 09/11/2009; 07:44:04 27/05/2000; 07:44:04 27/05/2000
z://Arquivos de programas/OpenSTA/Engines/Mibs/SNMP-VIEW-BASED-ACM-MIB.txt;33430;;{88782AD9-1B24-0F49-3F6A-FAC7-FAC73F6A};-1;-1; 18:12:37 09/11/2009; 07:44:04 27/05/2000; 07:44:04 27/05/2000
z://Arquivos de programas/OpenSTA/Engines/Mibs/SNMPv2-CONF.txt;8263;;{CFE2999F-CA4B-2066-96FB-B8D6-B8D696FB};-1;-1; 18:12:37 09/11/2009; 07:44:04 27/05/2000; 07:44:04 27/05/2000
z://Arquivos de programas/OpenSTA/Engines/Mibs/SNMPv2-MIB.txt;25052;;{EB0C28F0-C4A6-8DC1-EC52-A776-A776EC52};-1;-1; 18:12:37 09/11/2009; 07:44:04 27/05/2000; 07:44:04 27/05/2000
z://Arquivos de programas/OpenSTA/Engines/Mibs/SNMPv2-SMI.txt;8924;;{AA0578A0-9409-BB31-A90F-3DAD-3DADA90F};-1;-1; 18:12:37 09/11/2009; 07:44:06 27/05/2000; 07:44:06 27/05/2000
z://Arquivos de programas/OpenSTA/Engines/Mibs/SNMPv2-TC.txt;38034;;{5274E9A7-760A-68AA-ED27-A9E6-A9E6ED27};-1;-1; 18:12:37 09/11/2009; 07:44:06 27/05/2000; 07:44:06 27/05/2000
